,spot,timestamp,reporter,reporter_grid,snr,frequency,tx_call,tx_grid,power,drift,distance,azimuth,band,version,code
24875208,1114169273,1522009560,M0XDK,IO92ne,-16,10.140275,IZ4LXP,JN54lg,37,0,1239,319,10,,0
10145220,1099348738,1520714400,G6TEQ,IO80fl,-17,7.040030000000001,IZ4LXP,JN54lg,30,-2,1288,308,7,1.8.0,0
13078142,1102311460,1520971200,IW2GOB/B,JN45rh,-10,0.475608,EA5DOM,IM98xn,30,0,1085,43,0,1.8.0-rc2,0
576622,1089718936,1519914360,KC2STA1,FN22vx,-15,7.040113000000001,WN2FMM,EL98hi,37,0,1749,20,7,1.8.0,0
11059561,1100262320,1520799000,N3ENA,FN21bg,-25,14.097164999999999,G0UJA,JO01bj,27,0,5674,290,14,1.8.0,0
28260198,1117624347,1522356360,HB9FXY,JN36cl,-8,7.0401039999999995,OZ2JBR,JO65di,37,0,1074,206,7,1.8.0,0
2016166,1091169996,1520030880,DP0GVN,IB59uh,-23,7.040127,PA0MLC,JO31aw,37,0,13683,186,7,,0
22881115,1112161438,1521837120,DL1GCD/2,JN48ar,-24,10.140127,KE8KW,FN44kb,37,0,5813,55,10,,0
15505683,1104757564,1521153000,DL0HT,JO43jb,-12,1.8381919999999998,DK1BN/P,JO30tn,40,0,289,16,1,,0
29516205,1118897856,1522462800,KD6RF,EM22,-17,3.594015,KB4JHU,EM65,23,0,809,248,3,1.8.0,0
23080754,1112361642,1521855600,VA3ROM,EN58jk,-14,7.040050999999999,KR4EZ,EM94,33,0,1692,339,7,1.2 Kiwi,0
5906126,1095081838,1520359560,9K2/VO1DZA,LL49bc,-26,7.040182000000001,DL7CHR,JO62sp,37,-1,3848,119,7,1.8.0,0
25021940,1114328176,1522024800,W3GXT,FM19ol,-27,7.040114999999999,W5GNB,DM73uc,3,0,2553,66,7,2.0_r1714,0
24740288,1114034135,1522000440,DK6UG,JN49cm,0,3.5940220000000003,ON4BWT,JO10wv,37,0,344,115,3,,0
20111080,1109385600,1521574800,G0LUJ,IO83ls,-2,1.8381020000000001,ON7KB,JO21ei,37,0,568,301,1,,0
3671276,1092829655,1520168880,DH5RAE,JN68qv,-8,7.040041,IZ4LXP,JN54lg,30,-3,546,19,7,,0
4400533,1093574669,1520233080,DF8OE,JO42jr,-21,3.5941080000000003,DF8DL,JO31nr,23,0,159,45,3,,0
21843902,1111126039,1521749880,DL1KAI,JO42vj,-8,3.594124,DL1FX,JN49gr,23,0,309,16,3,1.8.0,0
15860347,1105120362,1521191640,W3SZ,FN20ag,-9,0.47561499999999995,KC4SIT,EM85tg,37,0,792,43,0,1.9.0-rc2,0
29890743,1119271915,1522497480,DF4UE,JN48rr,-29,10.140186,OH6KIT,KP10,23,0,1563,219,10,,0
11414865,1100625290,1520836200,DL1GCD/2,JN48ar,-14,10.140227000000001,EA4DUT,IN80ej,23,-1,1306,41,10,,0
2037942,1091189924,1520032680,DL1GCD/2,JN48ar,-27,7.040155,WA4KFZ,FM18gv,37,0,6581,50,7,,0
18796901,1108067703,1521448200,PA0EHG,JO22hb,-22,10.140263000000001,OK2UGG,JN89do,23,-1,863,293,10,,0
2425873,1091574430,1520068560,UNLIS,JN89bo,-22,10.140153999999999,G7TSX,IO83,23,0,1389,100,10,,0
25534124,1114849265,1522083720,DJ9AE,JO42ag,-25,7.040094,EA1IOW,IN83gj,23,0,1305,37,7,2.0_r1714,0
